blocker_id,blocker_type,date,year,symbol,company,instrument_id,isin,expected_value,observed_value,source_tier,source_url,source_sha256,severity,root_cause,resolution_status,resolution_source,notes
COUNT_NOT_200:2012-01-17:12,COUNT_NOT_200,2012-01-17,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-01-17:0
COUNT_NOT_200:2012-01-18:13,COUNT_NOT_200,2012-01-18,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-01-18:0
COUNT_NOT_200:2012-01-19:14,COUNT_NOT_200,2012-01-19,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-01-19:0
COUNT_NOT_200:2012-01-20:15,COUNT_NOT_200,2012-01-20,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-01-20:0
COUNT_NOT_200:2012-01-23:16,COUNT_NOT_200,2012-01-23,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-01-23:0
COUNT_NOT_200:2012-01-24:17,COUNT_NOT_200,2012-01-24,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-01-24:0
COUNT_NOT_200:2012-01-25:18,COUNT_NOT_200,2012-01-25,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-01-25:0
COUNT_NOT_200:2012-01-27:19,COUNT_NOT_200,2012-01-27,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-01-27:0
COUNT_NOT_200:2012-01-30:20,COUNT_NOT_200,2012-01-30,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-01-30:0
COUNT_NOT_200:2012-01-31:21,COUNT_NOT_200,2012-01-31,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-01-31:0
COUNT_NOT_200:2012-02-01:22,COUNT_NOT_200,2012-02-01,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-02-01:0
COUNT_NOT_200:2012-02-02:23,COUNT_NOT_200,2012-02-02,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-02-02:0
COUNT_NOT_200:2012-02-03:24,COUNT_NOT_200,2012-02-03,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-02-03:0
COUNT_NOT_200:2012-02-06:25,COUNT_NOT_200,2012-02-06,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-02-06:0
COUNT_NOT_200:2012-02-07:26,COUNT_NOT_200,2012-02-07,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-02-07:0
COUNT_NOT_200:2012-02-08:27,COUNT_NOT_200,2012-02-08,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-02-08:0
COUNT_NOT_200:2012-02-09:28,COUNT_NOT_200,2012-02-09,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-02-09:0
COUNT_NOT_200:2012-02-10:29,COUNT_NOT_200,2012-02-10,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-02-10:0
COUNT_NOT_200:2012-02-13:30,COUNT_NOT_200,2012-02-13,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-02-13:0
COUNT_NOT_200:2012-02-14:31,COUNT_NOT_200,2012-02-14,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-02-14:0
COUNT_NOT_200:2012-02-15:32,COUNT_NOT_200,2012-02-15,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-02-15:0
COUNT_NOT_200:2012-02-16:33,COUNT_NOT_200,2012-02-16,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-02-16:0
COUNT_NOT_200:2012-02-17:34,COUNT_NOT_200,2012-02-17,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-02-17:0
COUNT_NOT_200:2012-02-21:35,COUNT_NOT_200,2012-02-21,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-02-21:0
COUNT_NOT_200:2012-02-22:36,COUNT_NOT_200,2012-02-22,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-02-22:0
COUNT_NOT_200:2012-02-23:37,COUNT_NOT_200,2012-02-23,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-02-23:0
COUNT_NOT_200:2012-02-24:38,COUNT_NOT_200,2012-02-24,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-02-24:0
COUNT_NOT_200:2012-02-27:39,COUNT_NOT_200,2012-02-27,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-02-27:0
COUNT_NOT_200:2012-02-28:40,COUNT_NOT_200,2012-02-28,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-02-28:0
COUNT_NOT_200:2012-02-29:41,COUNT_NOT_200,2012-02-29,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-02-29:0
COUNT_NOT_200:2012-03-01:42,COUNT_NOT_200,2012-03-01,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-03-01:0
COUNT_NOT_200:2012-03-02:43,COUNT_NOT_200,2012-03-02,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-03-02:0
COUNT_NOT_200:2012-03-05:44,COUNT_NOT_200,2012-03-05,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-03-05:0
COUNT_NOT_200:2012-03-06:45,COUNT_NOT_200,2012-03-06,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-03-06:0
COUNT_NOT_200:2012-03-07:46,COUNT_NOT_200,2012-03-07,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-03-07:0
COUNT_NOT_200:2012-03-09:47,COUNT_NOT_200,2012-03-09,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-03-09:0
COUNT_NOT_200:2012-03-12:48,COUNT_NOT_200,2012-03-12,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-03-12:0
COUNT_NOT_200:2012-03-13:49,COUNT_NOT_200,2012-03-13,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-03-13:0
COUNT_NOT_200:2012-03-14:50,COUNT_NOT_200,2012-03-14,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-03-14:0
COUNT_NOT_200:2012-03-15:51,COUNT_NOT_200,2012-03-15,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-03-15:0
COUNT_NOT_200:2012-03-16:52,COUNT_NOT_200,2012-03-16,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-03-16:0
COUNT_NOT_200:2012-03-19:53,COUNT_NOT_200,2012-03-19,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-03-19:0
COUNT_NOT_200:2012-03-20:54,COUNT_NOT_200,2012-03-20,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-03-20:0
COUNT_NOT_200:2012-03-21:55,COUNT_NOT_200,2012-03-21,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-03-21:0
COUNT_NOT_200:2012-03-22:56,COUNT_NOT_200,2012-03-22,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-03-22:0
COUNT_NOT_200:2012-03-23:57,COUNT_NOT_200,2012-03-23,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-03-23:0
COUNT_NOT_200:2012-03-26:58,COUNT_NOT_200,2012-03-26,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-03-26:0
COUNT_NOT_200:2012-03-27:59,COUNT_NOT_200,2012-03-27,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-03-27:0
COUNT_NOT_200:2012-03-28:60,COUNT_NOT_200,2012-03-28,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-03-28:0
COUNT_NOT_200:2012-03-29:61,COUNT_NOT_200,2012-03-29,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-03-29:0
COUNT_NOT_200:2012-03-30:62,COUNT_NOT_200,2012-03-30,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-03-30:0
COUNT_NOT_200:2012-04-02:63,COUNT_NOT_200,2012-04-02,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-04-02:0
COUNT_NOT_200:2012-04-03:64,COUNT_NOT_200,2012-04-03,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-04-03:0
COUNT_NOT_200:2012-04-04:65,COUNT_NOT_200,2012-04-04,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-04-04:0
COUNT_NOT_200:2012-04-09:66,COUNT_NOT_200,2012-04-09,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-04-09:0
COUNT_NOT_200:2012-04-10:67,COUNT_NOT_200,2012-04-10,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-04-10:0
COUNT_NOT_200:2012-04-11:68,COUNT_NOT_200,2012-04-11,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-04-11:0
COUNT_NOT_200:2012-04-12:69,COUNT_NOT_200,2012-04-12,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-04-12:0
COUNT_NOT_200:2012-04-13:70,COUNT_NOT_200,2012-04-13,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-04-13:0
COUNT_NOT_200:2012-04-16:71,COUNT_NOT_200,2012-04-16,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-04-16:0
COUNT_NOT_200:2012-04-17:72,COUNT_NOT_200,2012-04-17,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-04-17:0
COUNT_NOT_200:2012-04-18:73,COUNT_NOT_200,2012-04-18,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-04-18:0
COUNT_NOT_200:2012-04-19:74,COUNT_NOT_200,2012-04-19,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-04-19:0
COUNT_NOT_200:2012-04-20:75,COUNT_NOT_200,2012-04-20,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-04-20:0
COUNT_NOT_200:2012-04-23:76,COUNT_NOT_200,2012-04-23,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-04-23:0
COUNT_NOT_200:2012-04-24:77,COUNT_NOT_200,2012-04-24,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-04-24:0
COUNT_NOT_200:2012-04-25:78,COUNT_NOT_200,2012-04-25,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-04-25:0
COUNT_NOT_200:2012-04-26:79,COUNT_NOT_200,2012-04-26,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-04-26:0
COUNT_NOT_200:2012-04-27:80,COUNT_NOT_200,2012-04-27,2012,,,,,200,12,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-04-27:12
COUNT_NOT_200:2012-04-30:81,COUNT_NOT_200,2012-04-30,2012,,,,,200,12,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-04-30:12
COUNT_NOT_200:2012-05-02:82,COUNT_NOT_200,2012-05-02,2012,,,,,200,12,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-05-02:12
COUNT_NOT_200:2012-05-03:83,COUNT_NOT_200,2012-05-03,2012,,,,,200,12,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-05-03:12
COUNT_NOT_200:2012-05-04:84,COUNT_NOT_200,2012-05-04,2012,,,,,200,12,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-05-04:12
COUNT_NOT_200:2012-05-07:85,COUNT_NOT_200,2012-05-07,2012,,,,,200,12,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-05-07:12
COUNT_NOT_200:2012-05-08:86,COUNT_NOT_200,2012-05-08,2012,,,,,200,12,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-05-08:12
COUNT_NOT_200:2012-05-09:87,COUNT_NOT_200,2012-05-09,2012,,,,,200,12,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-05-09:12
COUNT_NOT_200:2012-05-10:88,COUNT_NOT_200,2012-05-10,2012,,,,,200,12,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-05-10:12
COUNT_NOT_200:2012-05-11:89,COUNT_NOT_200,2012-05-11,2012,,,,,200,12,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-05-11:12
COUNT_NOT_200:2012-05-14:90,COUNT_NOT_200,2012-05-14,2012,,,,,200,12,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-05-14:12
COUNT_NOT_200:2012-05-15:91,COUNT_NOT_200,2012-05-15,2012,,,,,200,12,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-05-15:12
COUNT_NOT_200:2012-05-16:92,COUNT_NOT_200,2012-05-16,2012,,,,,200,12,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-05-16:12
COUNT_NOT_200:2012-05-17:93,COUNT_NOT_200,2012-05-17,2012,,,,,200,12,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-05-17:12
COUNT_NOT_200:2012-05-18:94,COUNT_NOT_200,2012-05-18,2012,,,,,200,12,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-05-18:12
COUNT_NOT_200:2012-05-21:95,COUNT_NOT_200,2012-05-21,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-05-21:13
COUNT_NOT_200:2012-05-22:96,COUNT_NOT_200,2012-05-22,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-05-22:13
COUNT_NOT_200:2012-05-23:97,COUNT_NOT_200,2012-05-23,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-05-23:13
COUNT_NOT_200:2012-05-24:98,COUNT_NOT_200,2012-05-24,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-05-24:13
COUNT_NOT_200:2012-05-25:99,COUNT_NOT_200,2012-05-25,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-05-25:13
COUNT_NOT_200:2012-05-28:100,COUNT_NOT_200,2012-05-28,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-05-28:13
COUNT_NOT_200:2012-05-29:101,COUNT_NOT_200,2012-05-29,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-05-29:13
COUNT_NOT_200:2012-05-30:102,COUNT_NOT_200,2012-05-30,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-05-30:13
COUNT_NOT_200:2012-05-31:103,COUNT_NOT_200,2012-05-31,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-05-31:13
COUNT_NOT_200:2012-06-01:104,COUNT_NOT_200,2012-06-01,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-06-01:13
COUNT_NOT_200:2012-06-04:105,COUNT_NOT_200,2012-06-04,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-06-04:13
COUNT_NOT_200:2012-06-05:106,COUNT_NOT_200,2012-06-05,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-06-05:13
COUNT_NOT_200:2012-06-06:107,COUNT_NOT_200,2012-06-06,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-06-06:13
COUNT_NOT_200:2012-06-07:108,COUNT_NOT_200,2012-06-07,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-06-07:13
COUNT_NOT_200:2012-06-08:109,COUNT_NOT_200,2012-06-08,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-06-08:13
COUNT_NOT_200:2012-06-11:110,COUNT_NOT_200,2012-06-11,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-06-11:13
COUNT_NOT_200:2012-06-12:111,COUNT_NOT_200,2012-06-12,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-06-12:13
COUNT_NOT_200:2012-06-13:112,COUNT_NOT_200,2012-06-13,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-06-13:13
COUNT_NOT_200:2012-06-14:113,COUNT_NOT_200,2012-06-14,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-06-14:13
COUNT_NOT_200:2012-06-15:114,COUNT_NOT_200,2012-06-15,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-06-15:13
COUNT_NOT_200:2012-06-18:115,COUNT_NOT_200,2012-06-18,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-06-18:13
COUNT_NOT_200:2012-06-19:116,COUNT_NOT_200,2012-06-19,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-06-19:13
COUNT_NOT_200:2012-06-20:117,COUNT_NOT_200,2012-06-20,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-06-20:13
COUNT_NOT_200:2012-06-21:118,COUNT_NOT_200,2012-06-21,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-06-21:13
COUNT_NOT_200:2012-06-22:119,COUNT_NOT_200,2012-06-22,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-06-22:13
COUNT_NOT_200:2012-06-25:120,COUNT_NOT_200,2012-06-25,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-06-25:13
COUNT_NOT_200:2012-06-26:121,COUNT_NOT_200,2012-06-26,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-06-26:13
COUNT_NOT_200:2012-06-27:122,COUNT_NOT_200,2012-06-27,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-06-27:13
COUNT_NOT_200:2012-06-28:123,COUNT_NOT_200,2012-06-28,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-06-28:13
COUNT_NOT_200:2012-06-29:124,COUNT_NOT_200,2012-06-29,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-06-29:13
COUNT_NOT_200:2012-07-02:125,COUNT_NOT_200,2012-07-02,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-07-02:13
COUNT_NOT_200:2012-07-03:126,COUNT_NOT_200,2012-07-03,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-07-03:13
COUNT_NOT_200:2012-07-04:127,COUNT_NOT_200,2012-07-04,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-07-04:13
COUNT_NOT_200:2012-07-05:128,COUNT_NOT_200,2012-07-05,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-07-05:13
COUNT_NOT_200:2012-07-06:129,COUNT_NOT_200,2012-07-06,2012,,,,,200,13,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-07-06:13
